slope_weight,slope_density,sampleSlope
-0.23952809,2.4601636e-07,0.26867017
-0.23923025,2.623157e-07,0.21117479
-0.23893005,2.7965467e-07,0.13706213
-0.23862758,2.980991e-07,0.49588558
-0.2383227,3.1771455e-07,0.47896242
-0.23801526,3.38572e-07,0.7253277
-0.23770556,3.6074778e-07,0.2767362
-0.23739338,3.8432245e-07,0.34303725
-0.2370787,4.093796e-07,0.6244856
-0.23676166,4.3601057e-07,0.6176727
-0.23644209,4.6430657e-07,0.6477475
-0.23612002,4.9436915e-07,0.5080071
-0.23579538,5.263049e-07,0.0071127936
-0.23546818,5.6022304e-07,0.69220364
-0.23513845,5.9624455e-07,0.5600641
-0.23480615,6.3449266e-07,0.2673055
-0.23447114,6.751003e-07,0.5062998
-0.23413357,7.182034e-07,0.27604178
-0.23379344,7.6395213e-07,0.48886913
-0.23345056,8.1249954e-07,-0.039711826
-0.23310506,8.640101e-07,0.6608682
-0.23275676,9.186575e-07,0.68063474
-0.23240593,9.766252e-07,0.688477
-0.23205224,1.0381033e-06,0.2845318
-0.23169568,1.1032977e-06,0.56060886
-0.23133641,1.1724197e-06,0.59190774
-0.23097444,1.245699e-06,0.59136045
-0.2306096,1.3233703e-06,0.30843467
-0.23024186,1.4056833e-06,0.6004952
-0.22987133,1.4929126e-06,0.38238478
-0.22949782,1.585328e-06,0.39402464
-0.22912142,1.6832299e-06,0.20199984
-0.22874215,1.7869272e-06,0.62381405
-0.22835997,1.8967488e-06,0.2545734
-0.22797474,2.0130358e-06,0.44094023
-0.22758654,2.1361545e-06,0.3664961
-0.22719526,2.266481e-06,0.3960929
-0.22680101,2.4044198e-06,0.73865944
-0.22640377,2.5504007e-06,0.39776972
-0.2260035,2.704863e-06,0.61421245
-0.22559997,2.8682775e-06,0.32796103
-0.22519332,3.0411388e-06,0.72310215
-0.22478354,3.2239623e-06,0.37492514
-0.22437069,3.4173042e-06,0.41652703
-0.2239545,3.6217298e-06,0.67377067
-0.22353518,3.837846e-06,0.40462524
-0.22311267,4.0662967e-06,0.7307301
-0.22268683,4.307737e-06,0.3454042
-0.22225767,4.5628653e-06,0.29818928
-0.22182539,4.832454e-06,0.6383652
-0.22138956,5.1172383e-06,0.6316463
-0.22095057,5.418051e-06,0.46932158
-0.2205081,5.7357374e-06,0.59314936
-0.22006217,6.0712114e-06,0.31425062
-0.2196129,6.425406e-06,0.56267816
-0.21916014,6.799324e-06,0.6291758
-0.21870402,7.1939935e-06,0.41061437
-0.21824425,7.610496e-06,0.18079402
-0.21778104,8.050009e-06,0.3265383
-0.21731418,8.513693e-06,0.5985145
-0.21684387,9.002865e-06,0.52520865
-0.21636987,9.518765e-06,0.38367876
-0.21589231,1.0062866e-05,0.54233956
-0.2154111,1.0636586e-05,0.5859971
-0.21492621,1.1241462e-05,0.5760082
-0.21443766,1.1879058e-05,0.73005
