seed,kl,M,method,num_samples
16,0.050928379082250785,20,TruncF2,100000
18,0.0513843671375227,20,TruncF2,100000
20,0.05195570419994411,20,TruncF2,100000
22,0.051641602749466387,20,TruncF2,100000
24,0.052191331303284016,20,TruncF2,100000
26,0.05332085865526892,20,TruncF2,100000
28,0.05259111635468372,20,TruncF2,100000
30,0.051876104802929035,20,TruncF2,100000
32,0.05162213609130717,20,TruncF2,100000
34,0.05184780926437682,20,TruncF2,100000
36,0.051346798534627425,20,TruncF2,100000
38,0.05184337799793326,20,TruncF2,100000
40,0.05152406871361137,20,TruncF2,100000
2,0.031115714272289097,30,TruncF2,100000
4,0.03220739954817731,30,TruncF2,100000
6,0.03098597161196892,30,TruncF2,100000
8,0.03158114577704296,30,TruncF2,100000
10,0.03207939098724566,30,TruncF2,100000
12,0.03266215225511715,30,TruncF2,100000
14,0.03298187156349286,30,TruncF2,100000
16,0.03228227338993861,30,TruncF2,100000
18,0.032087588733134,30,TruncF2,100000
20,0.03290459273122792,30,TruncF2,100000
22,0.03137521187384351,30,TruncF2,100000
24,0.03101417650439231,30,TruncF2,100000
26,0.031318196312270175,30,TruncF2,100000
28,0.03162858763271359,30,TruncF2,100000
30,0.03047928800748778,30,TruncF2,100000
32,0.03088335373448814,30,TruncF2,100000
34,0.03173997445276555,30,TruncF2,100000
36,0.0314229447809069,30,TruncF2,100000
38,0.03169257825840077,30,TruncF2,100000
40,0.031834778482021875,30,TruncF2,100000
2,0.014966203743039586,50,TruncF2,100000
4,0.01569112854252097,50,TruncF2,100000
6,0.015482363393577003,50,TruncF2,100000
8,0.015566831287681993,50,TruncF2,100000
10,0.015332894738442349,50,TruncF2,100000
12,0.014512707075912346,50,TruncF2,100000
14,0.014976003177434194,50,TruncF2,100000
16,0.015947423108219283,50,TruncF2,100000
18,0.01559003494531197,50,TruncF2,100000
20,0.015830389975089787,50,TruncF2,100000
22,0.015988821392056707,50,TruncF2,100000
24,0.016289045940208524,50,TruncF2,100000
26,0.015427156110010998,50,TruncF2,100000
28,0.01428518286665792,50,TruncF2,100000
30,0.016175751965594287,50,TruncF2,100000
32,0.014717134416621036,50,TruncF2,100000
34,0.01500024167782854,50,TruncF2,100000
36,0.016211867328120633,50,TruncF2,100000
38,0.015721115135804098,50,TruncF2,100000
40,0.01570442464443289,50,TruncF2,100000
2,0.011749422763628559,60,TruncF2,100000
4,0.01168204326706146,60,TruncF2,100000
6,0.01076435995853231,60,TruncF2,100000
8,0.009773058241041355,60,TruncF2,100000
10,0.011885966522864777,60,TruncF2,100000
12,0.010936880550282524,60,TruncF2,100000
14,0.011623820719872668,60,TruncF2,100000
16,0.011562758586915578,60,TruncF2,100000
18,0.012062210354148561,60,TruncF2,100000
20,0.011161271408678175,60,TruncF2,100000
22,0.012626675053891034,60,TruncF2,100000
24,0.0114328545363378,60,TruncF2,100000
26,0.011867943442172901,60,TruncF2,100000
28,0.010738859977568183,60,TruncF2,100000
30,0.012022605817460175,60,TruncF2,100000
32,0.011143448562950908,60,TruncF2,100000
34,0.011948010892002259,60,TruncF2,100000
36,0.010853908234111032,60,TruncF2,100000
38,0.01167898185362759,60,TruncF2,100000
40,0.01118491689368284,60,TruncF2,100000
