seed,kl,M,method,num_samples
34,0.006714551198083285,30,SigmoidF2,100000
36,0.006046811193360924,30,SigmoidF2,100000
38,0.00616520558582323,30,SigmoidF2,100000
40,0.005746040729555091,30,SigmoidF2,100000
2,0.002675842987514443,50,SigmoidF2,100000
4,0.0025522990240602894,50,SigmoidF2,100000
6,0.0024374599337271263,50,SigmoidF2,100000
8,0.002738101444620611,50,SigmoidF2,100000
10,0.0027186567336450196,50,SigmoidF2,100000
12,0.002347066717913293,50,SigmoidF2,100000
14,0.0022414464292168645,50,SigmoidF2,100000
16,0.0026413326615930544,50,SigmoidF2,100000
18,0.002478019205373272,50,SigmoidF2,100000
20,0.002799277228444197,50,SigmoidF2,100000
22,0.0023444869403448365,50,SigmoidF2,100000
24,0.00243356650019777,50,SigmoidF2,100000
26,0.0025623062487376558,50,SigmoidF2,100000
28,0.002477288767906316,50,SigmoidF2,100000
30,0.002255065156926861,50,SigmoidF2,100000
32,0.0027899059225973133,50,SigmoidF2,100000
34,0.002846710660833196,50,SigmoidF2,100000
36,0.002526261642529448,50,SigmoidF2,100000
38,0.002877342852865894,50,SigmoidF2,100000
40,0.0024917527419567875,50,SigmoidF2,100000
2,0.0017649167358015916,60,SigmoidF2,100000
4,0.0019727280283490245,60,SigmoidF2,100000
6,0.0019378757966528326,60,SigmoidF2,100000
8,0.0020078110495482804,60,SigmoidF2,100000
10,0.0019390686860276674,60,SigmoidF2,100000
12,0.0014906797387332915,60,SigmoidF2,100000
14,0.0019168168138783415,60,SigmoidF2,100000
16,0.001504784617623045,60,SigmoidF2,100000
18,0.0019137655024294986,60,SigmoidF2,100000
20,0.002022590834361182,60,SigmoidF2,100000
22,0.0018762670897700673,60,SigmoidF2,100000
24,0.0016608709694772017,60,SigmoidF2,100000
26,0.0019514410026815199,60,SigmoidF2,100000
28,0.0020154393508065027,60,SigmoidF2,100000
30,0.001824989226154372,60,SigmoidF2,100000
32,0.0019414192962301513,60,SigmoidF2,100000
34,0.0018429532168013907,60,SigmoidF2,100000
36,0.001978170489284281,60,SigmoidF2,100000
38,0.0016981755938232368,60,SigmoidF2,100000
40,0.0017996414277163808,60,SigmoidF2,100000
