train_loss,train_acc,test_loss,test_acc
0.5677427053451538,0.6840000152587891,0.17419227957725525,0.6840000152587891
0.22069531679153442,0.6235973238945007,0.08726485073566437,0.6235973238945007
0.1120796948671341,0.6922033429145813,0.0841192975640297,0.6922033429145813
0.09659001976251602,0.6923045516014099,0.0888902023434639,0.6923045516014099
0.09377564489841461,0.5480318069458008,0.08921698480844498,0.5480318069458008
0.09296918660402298,0.659541130065918,0.08683957159519196,0.659541130065918
0.08905026316642761,0.6785719394683838,0.08820483833551407,0.6785719394683838
0.09022386372089386,0.6905050277709961,0.08368152379989624,0.6905050277709961
0.08824415504932404,0.6524980664253235,0.09252925962209702,0.6524980664253235
0.08871884644031525,0.6944816708564758,0.08291363716125488,0.6944816708564758
0.08582904934883118,0.6880093216896057,0.08951215445995331,0.6880093216896057
0.08648577332496643,0.6950723528862,0.08488896489143372,0.6950723528862
0.08528847992420197,0.7224700450897217,0.08426743745803833,0.7224700450897217
0.0855395719408989,0.7094135284423828,0.0834173634648323,0.7094135284423828
0.08634290844202042,0.7306617498397827,0.08303210884332657,0.7306617498397827
0.08376660943031311,0.7482801079750061,0.08337660878896713,0.7482801079750061
0.08487381786108017,0.7103154063224792,0.08876310288906097,0.7103154063224792
0.08393698930740356,0.7165937423706055,0.0828518196940422,0.7165937423706055
0.08300609141588211,0.7460249662399292,0.08008891344070435,0.7460249662399292
0.08090466260910034,0.7407636046409607,0.08234899491071701,0.7407636046409607
0.08068298548460007,0.7484489679336548,0.08066044747829437,0.7484489679336548
0.08077579736709595,0.748272716999054,0.08012299984693527,0.748272716999054
0.0796591117978096,0.777015209197998,0.07816443592309952,0.777015209197998
0.08141414821147919,0.7514171004295349,0.08043768256902695,0.7514171004295349
0.08056937903165817,0.7382310032844543,0.08131705969572067,0.7382310032844543
0.0787295401096344,0.7719427943229675,0.0802646204829216,0.7719427943229675
0.07997865229845047,0.7689914107322693,0.0783645436167717,0.7689914107322693
0.07921872287988663,0.7538737654685974,0.07970091700553894,0.7538737654685974
0.07952757179737091,0.7430704832077026,0.08191920071840286,0.7430704832077026
0.07854507863521576,0.7724130749702454,0.0784793496131897,0.7724130749702454
0.07836641371250153,0.756293535232544,0.0812218189239502,0.756293535232544
0.07900714129209518,0.7871076464653015,0.07704165577888489,0.7871076464653015
0.07819526642560959,0.7455165386199951,0.08027900755405426,0.7455165386199951
0.07641998678445816,0.7595539093017578,0.08067090064287186,0.7595539093017578
0.07631875574588776,0.7212517857551575,0.08592736721038818,0.7212517857551575
0.07732098549604416,0.7683921456336975,0.07921402156352997,0.7683921456336975
0.07611910253763199,0.7975577116012573,0.07621768116950989,0.7975577116012573
0.07536327838897705,0.7733393311500549,0.07948264479637146,0.7733393311500549
0.07624456286430359,0.7646434307098389,0.07832341641187668,0.7646434307098389
0.07757691293954849,0.7622131109237671,0.07995250076055527,0.7622131109237671
0.07645484805107117,0.7627290487289429,0.08165692538022995,0.7627290487289429
0.07429206371307373,0.7565931677818298,0.08117513358592987,0.7565931677818298
0.07554404437541962,0.7461747527122498,0.08122946321964264,0.7461747527122498
0.0764719545841217,0.7592427730560303,0.08048081398010254,0.7592427730560303
0.07478328049182892,0.774883508682251,0.0805540457367897,0.774883508682251
0.07570277154445648,0.4489208459854126,0.08888998627662659,0.4489208459854126
0.07590241730213165,0.7782440781593323,0.07852575182914734,0.7782440781593323
0.07409343123435974,0.7811617255210876,0.07913669943809509,0.7811617255210876
0.07605747133493423,0.7859178781509399,0.08020271360874176,0.7859178781509399
0.07446186989545822,0.7030984163284302,0.08339661359786987,0.7030984163284302
